moh_area,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index
MOH-Galkiriyagama (Palagala),29.349084545522622,35.818356900478484,0.05180166841222127,71.80175093154624,12.783079353643869,19.935198800590907
MOH-Galnewa,29.26291919646696,35.661328926310794,0.15545916820830322,70.34582597387512,12.645499335472001,19.472477518017183
MOH-Gampaha,29.571686742499566,34.22010779953515,4.923704158828073,75.00466354317213,9.275799800121854,20.985048617528403
MOH-Gampola (Udapalatha),28.731448910459683,35.41879462524265,3.5761566614790077,72.38408014953116,13.195626853900308,19.67445749111045
MOH-Ganewatta,30.519706668107318,37.24529367591445,0.881061666780877,68.74436966806218,13.291903983481742,19.845214443879172
MOH-Gangawata Korale,27.805045729364142,34.962094944648086,0.984719166576959,68.59873640721155,14.089656279193493,18.04145474177598
MOH-Girandurukotte,26.12446952228665,31.46592503633455,2.2286091641299426,76.60622176169386,10.568705373270916,18.936159116107028
MOH-Giribawa,29.370600747037106,35.94671628139799,0.777404166984795,71.36495306170315,12.989401242336879,19.82814844519246
MOH-Godakawela,29.104865604033467,35.04770116211736,22.13084912497768,76.02379063100015,11.765237539708961,20.93520814409108
MOH-Gomarangadawela,28.113813275396744,34.07736417670714,0.05180166841222127,76.89738637068633,11.792772798769251,20.455420862830646
MOH-Gonapinuwala,28.28614397350807,28.968660816110592,5.234676658216319,82.72098428866198,1.6149323221976648,22.143791141995294
MOH-Gothatuwa,28.3580322168859,28.925907652660356,6.063936656584975,80.10029898231224,1.3948428039745095,21.494895328293836
MOH-Habaraduwa,28.80323661083978,30.652516134523204,17.051631634969663,80.97389472199842,3.8705129140314716,22.070969749871892
MOH-Hakmana,29.018700254977805,34.79088250970953,23.478396622326745,78.49884267649928,11.43519953950381,21.554626323697317
MOH-Haldummulla,24.795894350266195,29.29690122521683,35.08803659948793,68.4532050590697,8.931994170386556,16.05452645149555
MOH-Hali Ela,23.194445482403182,27.598761555464538,2.435924163722106,70.92815519186004,8.725672281693546,15.56242450072823
MOH-Hambantota,29.384978395712672,35.33318840777337,15.704084137620598,75.2958281521646,11.779005169239106,20.933656689665018
MOH-Hanwella,30.498089923595106,35.96100063273767,14.460194140067614,75.15029680402274,10.857536762015213,21.684463665978587
MOH-Haputale,19.70409531616357,25.45820655645737,0.15545916820830322,62.047176010400335,11.283851891801797,11.558411524760754
MOH-Hasalaka,24.508643005748073,29.56800422896434,2.2286091641299426,78.79000728549175,10.004810225312463,18.273203246669357
MOH-Hatharaliyadda,29.9092095858833,36.8600157520183,19.02112413109522,70.6369905828676,13.718315390397906,19.985233205831488
MOH-Hikkaduwa,28.28614397350807,28.968660816110592,5.234676658216319,82.72098428866198,1.6149323221976648,22.143791141995294
MOH-Hingurakgoda,28.989944957626673,34.71956064357994,0.3627741678004672,73.11204262836671,11.352690039452522,20.051751814349
MOH-Homagama,29.97385873342448,34.07736417670714,6.271251656177139,72.38408014953116,8.230519004256237,20.52523631200355
MOH-Horana,30.3042430239693,35.404510273902964,4.923704158828073,76.75175310983572,10.156061595884893,22.006972254796736
MOH-Horowpothana,28.724310357620766,34.962094944648086,0.05180166841222127,75.7326260220077,12.329132687667414,20.58215529625979
MOH-Ibbagamuwa (Gokarella),29.700985037581923,36.95990632082725,0.984719166576959,68.30757179821907,14.30974579741665,19.189724948866935
MOH-Imaduwa,28.80323661083978,30.652516134523204,17.051631634969663,80.97389472199842,3.8705129140314716,22.070969749871892
MOH-Imbulpe,27.338224590898044,33.092742839957246,28.246641612946515,72.67524475852363,11.38012902138323,18.795946422351452
MOH-Induruwa,28.451336118780482,28.94019200400004,4.923704158828073,80.68273011300595,1.2435914334020786,21.72286216302368
MOH-Ingiriya,30.203700026238067,35.304619705094005,4.923704158828073,76.75175310983572,10.156061595884893,21.934053896771704
MOH-Ipalogama,29.21978625044026,35.68989762899016,0.05180166841222127,71.36495306170315,12.783079353643869,19.72633424848198
